  QueueTimes | ServiceTimes | SojournTimes

  290559.975 |       25.029 |   290585.004
  290585.084 |       25.751 |   290610.835
  290596.101 |       24.410 |   290620.510
  290619.722 |       25.170 |   290644.892
  290644.577 |       25.077 |   290669.654
  290666.108 |       25.143 |   290691.250
  290689.506 |       25.067 |   290714.573
  290713.776 |        1.596 |   290715.372
  290715.266 |       31.728 |   290746.993
  290744.059 |       25.150 |   290769.210
  290765.676 |       25.156 |   290790.832
  290790.307 |       25.116 |   290815.423
  290813.585 |        1.489 |   290815.074
  290814.088 |       32.012 |   290846.099
  290844.731 |       24.946 |   290869.677
  290869.630 |       33.544 |   290903.174
  290901.833 |       33.531 |   290935.364
  290932.719 |       33.456 |   290966.175
  290966.025 |       33.446 |   290999.471
  290997.776 |       33.553 |   291031.329
  291028.259 |       33.234 |   291061.493
  291060.085 |       33.348 |   291093.433
  291092.218 |        1.571 |   291093.789
  291092.982 |        0.190 |   291093.172
  291090.157 |       31.643 |   291121.800
  291119.711 |        0.185 |   291119.896
  291114.585 |       33.315 |   291147.900
  291147.345 |       33.692 |   291181.038
  291180.211 |       33.335 |   291213.546
  291213.381 |       33.480 |   291246.861
  291238.888 |       33.368 |   291272.256
  291271.538 |       33.557 |   291305.094
  291301.652 |        0.270 |   291301.921
  291300.505 |       32.962 |   291333.467
  291328.343 |       33.498 |   291361.841
  291360.365 |       33.399 |   291393.764
  291392.260 |        1.524 |   291393.784
  291393.779 |       31.925 |   291425.704
  291425.087 |       33.395 |   291458.482
  291455.849 |       33.394 |   291489.242
  291484.984 |        0.161 |   291485.146
  291481.205 |        1.677 |   291482.882
  291480.711 |       31.546 |   291512.257
  291506.593 |       33.350 |   291539.943
  291538.296 |       33.557 |   291571.854
  291567.901 |       33.459 |   291601.361
  291599.519 |       33.562 |   291633.081
  291632.489 |       33.348 |   291665.837
  291665.399 |       33.483 |   291698.882
  291698.745 |       33.462 |   291732.207
  291730.785 |       24.972 |   291755.758
  291755.400 |       25.105 |   291780.505
  291772.810 |       25.217 |   291798.027
  291796.331 |       25.127 |   291821.458
  291819.586 |        1.376 |   291820.962
  291816.651 |       23.695 |   291840.345
  291840.176 |       25.058 |   291865.234
  291864.815 |       24.955 |   291889.770
  291889.326 |       25.092 |   291914.418
  291910.272 |       25.177 |   291935.448
  291933.654 |       24.990 |   291958.645
  291954.838 |       25.242 |   291980.080
  291974.157 |       24.938 |   291999.095
  291996.720 |       25.182 |   292021.903
  292019.345 |       25.074 |   292044.419
  292044.465 |       25.145 |   292069.610
  292069.697 |       24.956 |   292094.653
  292093.757 |       25.065 |   292118.823
  292117.832 |       24.985 |   292142.817
  292139.086 |       25.186 |   292164.272
  292159.483 |       25.136 |   292184.620
  292173.385 |        0.163 |   292173.549
  292173.366 |       24.861 |   292198.227
  292197.712 |       25.157 |   292222.869
  292221.062 |       25.151 |   292246.214
  292245.051 |       25.080 |   292270.131
  292264.427 |       25.089 |   292289.516
  292287.889 |       25.240 |   292313.128
  292307.486 |       33.523 |   292341.009
  292334.907 |       33.480 |   292368.388
  292368.460 |       33.443 |   292401.903
  292401.823 |       33.404 |   292435.227
  292432.238 |       33.347 |   292465.584
  292461.787 |       33.561 |   292495.347
  292495.349 |       33.433 |   292528.782
  292515.925 |       33.315 |   292549.240
  292547.515 |       33.310 |   292580.825
  292578.839 |       33.545 |   292612.384
  292607.535 |       33.322 |   292640.857
  292639.051 |        1.349 |   292640.400
  292639.445 |       32.130 |   292671.576
  292666.673 |       33.416 |   292700.089
  292700.129 |       33.500 |   292733.629
  292733.598 |       33.371 |   292766.969
  292757.846 |       33.562 |   292791.408
  292790.344 |       33.361 |   292823.704
  292823.513 |       33.371 |   292856.883
  292853.280 |       33.450 |   292886.730
  292884.571 |       33.390 |   292917.961
  292914.965 |       33.400 |   292948.366
  292946.758 |       33.398 |   292980.156
  292979.546 |       33.549 |   293013.095
  293009.984 |       33.216 |   293043.200
  293043.127 |       33.444 |   293076.572
  293076.222 |       33.522 |   293109.744
  293107.789 |       33.416 |   293141.205
  293139.551 |       33.539 |   293173.090
  293172.737 |       33.305 |   293206.042
  293203.677 |        1.911 |   293205.588
  293205.628 |       31.461 |   293237.089
  293234.460 |       33.307 |   293267.767
  293267.603 |       33.510 |   293301.113
  293301.085 |       33.326 |   293334.411
  293330.351 |       33.554 |   293363.904
  293357.009 |       33.462 |   293390.471
  293385.838 |       33.487 |   293419.324
  293416.202 |       33.383 |   293449.585
  293447.664 |       33.483 |   293481.147
  293479.060 |       33.448 |   293512.508
  293507.142 |       25.050 |   293532.191
  293529.444 |       25.077 |   293554.520
  293552.712 |       25.152 |   293577.864
  293575.103 |        1.383 |   293576.486
